	ISO_country	Cruise_ID	Latitude	Longitude	Year	Month	Day	Time	WOD_unique	depth(m)	qc_flag	Temp	qc_flag.1	Sal	qc_flag.2	Oxy	qc_flag.3	Phos	qc_flag.4	dum5	qc_flag.5	Sil	qc_flag.6	dum7	qc_flag.7	NO3	qc_flag.8	pH	qc_flag.9	dum10	qc_flag.10	Chl	qc_flag.11	dum12	qc_flag.12	dum13	qc_flag.13	dum14	qc_flag.14	dum15	qc_flag.15	dum16	qc_flag.16	Alk	qc_flag.17	dum18	qc_flag.18	dum19	qc_flag.19	pCO2	qc_flag.20	DIC	qc_flag.21	dum22	qc_flag.22	dum23	qc_flag.23	BAC	qc_flag.24	dum25	qc_flag.25	dum26	qc_flag.26	dum27	qc_flag.27	dum28	qc_flag.28	dum29	qc_flag.29	dum30	qc_flag.30	dum31	qc_flag.31	dum32	qc_flag.32	Trit	qc_flag.33	He	qc_flag.34	dHE3	qc_flag.35	dC14	qc_flag.36	dC13	qc_flag.37	Arg	qc_flag.38	Neo	qc_flag.39	CFC11	qc_flag.40	CFC12	qc_flag.41	CFC113	qc_flag.42	O18	qc_flag.43
51	GB	12828	13.63	-61.5	1934	6	29		13665988	100	0	23.83	0	-99.99	0																																																																																		
52	GB	12828	13.63	-61.5	1934	6	29		13665988	150	0	17.43	0	36.3	0																																																																																		
53	GB	12828	13.63	-61.5	1934	6	29		13665988	200	0	14.82	0	36.09	0																																																																																		
54	GB	12829	13.55	-61.02	1935	11	3		13666040	0	0	27.69	0	34.67	0																																																																																		
55	GB	12829	13.55	-61.02	1935	11	3		13666040	10	0	27.69	0	34.68	0																																																																																		
56	GB	12829	13.55	-61.02	1935	11	3		13666040	25	0	27.74	0	35.41	0																																																																																		
57	GB	12829	13.55	-61.02	1935	11	3		13666040	50	0	25.66	0	36.21	0																																																																																		
58	GB	12829	13.55	-61.02	1935	11	3		13666040	75	0	24.54	0	36.44	0																																																																																		
59	GB	12829	13.55	-61.02	1935	11	3		13666040	100	0	23.46	0	36.53	0																																																																																		
60	GB	12829	13.55	-61.02	1935	11	3		13666040	150	0	20.59	0	36.77	0																																																																																		
61	GB	12829	13.55	-61.02	1935	11	3		13666040	200	0	16.24	0	36.06	0																																																																																		
62	GB	12829	13.95	-61.18	1935	11	3		13666041	0	0	27.9	0	34.59	0																																																																																		
63	GB	12829	13.95	-61.18	1935	11	3		13666041	10	0	27.87	0	34.59	0																																																																																		
64	GB	12829	13.95	-61.18	1935	11	3		13666041	25	0	27.94	0	34.61	0																																																																																		
65	GB	12829	13.95	-61.18	1935	11	3		13666041	50	0	27.42	0	34.62	0																																																																																		
66	GB	12829	13.95	-61.18	1935	11	3		13666041	75	0	25.83	0	36.35	0																																																																																		
67	GB	12829	13.95	-61.18	1935	11	3		13666041	100	0	24.35	0	36.45	0																																																																																		
68	GB	12829	13.95	-61.18	1935	11	3		13666041	150	0	20.95	0	36.74	0																																																																																		
69	GB	12829	13.95	-61.18	1935	11	3		13666041	200	0	18.1	0	36.32	0																																																																																		
70	US	8850	14.12	-60.48	1937	1	11	4.83	8411027	1	0	26.34	0	35.73	0	206	0																																																																																
71	US	8850	14.12	-60.48	1937	1	11	4.83	8411027	22	0	26.37	0	35.73	0	206	0																																																																																
72	US	8850	14.12	-60.48	1937	1	11	4.83	8411027	45	0	26.35	0	35.73	0	204	0																																																																																
73	US	8850	14.12	-60.48	1937	1	11	4.83	8411027	90	0	25.3	0	36.83	0	208	0																																																																																
74	US	8850	14.12	-60.48	1937	1	11	4.83	8411027	133	0	21.95	0	36.86	0	171	0																																																																																
75	US	8850	14.12	-60.48	1937	1	11	4.83	8411027	177	0	18.51	0	36.53	0	152	0																																																																																
76	US	8850	14.12	-60.48	1937	1	11	4.83	8411027	263	0	14.44	0	35.87	0	134	0																																																																																
77	US	8850	14.12	-60.48	1937	1	11	4.83	8411027	348	0	-99.99	0	35.37	0	128	0																																																																																
78	US	8850	14.12	-60.48	1937	1	11	4.83	8411027	433	0	9.33	0	35.08	0	125	0																																																																																
79	US	8850	14.12	-60.48	1937	1	11	4.83	8411027	518	0	7.14	0	34.76	0	120	0																																																																																
80	US	8850	14.12	-60.48	1937	1	11	4.83	8411027	700	0	5.75	0	34.64	0	139	0																																																																																
81	US	8850	14.12	-60.48	1937	1	11	4.83	8411027	887	0	5.15	0	34.7	0	152	0																																																																																
82	US	8850	14.12	-60.48	1937	1	11	4.83	8411027	1086	0	4.96	0	34.96	0	202	0																																																																																
83	US	8850	13.58	-61.15	1937	1	15	15.75	8411043	1	0	26.28	0	35.73	0	205	0																																																																																
84	US	8850	13.58	-61.15	1937	1	15	15.75	8411043	21	0	26.28	0	35.73	0	205	0																																																																																
85	US	8850	13.58	-61.15	1937	1	15	15.75	8411043	42	0	26.27	0	35.74	0	205	0																																																																																
86	US	8850	13.58	-61.15	1937	1	15	15.75	8411043	83	0	24.92	0	36.91	0	210	0																																																																																
87	US	8850	13.58	-61.15	1937	1	15	15.75	8411043	125	0	20.14	0	36.69	0	163	0																																																																																
88	US	8850	13.58	-61.15	1937	1	15	15.75	8411043	166	0	15.93	0	36.15	0	155	0																																																																																
89	US	8850	13.58	-61.15	1937	1	15	15.75	8411043	249	0	13.93	0	35.78	0	146	0																																																																																
90	US	8850	13.58	-61.15	1937	1	15	15.75	8411043	348	0	10.62	0	35.19	0	128	0																																																																																
91	US	8850	13.58	-61.15	1937	1	15	15.75	8411043	448	0	8.71	0	34.95	0	126	0																																																																																
92	US	8850	13.58	-61.15	1937	1	15	15.75	8411043	547	0	7.58	0	34.83	0	128	0																																																																																
93	US	8850	13.58	-61.15	1937	1	15	15.75	8411043	755	0	5.52	0	34.71	0	148	0																																																																																
94	US	8850	13.58	-61.15	1937	1	15	15.75	8411043	963	0	4.94	0	34.88	0	176	0																																																																																
95	US	8850	13.58	-61.15	1937	1	15	15.75	8411043	1179	0	4.45	0	34.94	0	195	0																																																																																
96	US	8850	13.58	-61.15	1937	1	15	15.75	8411043	1587	0	4.14	0	34.97	0	207	0																																																																																
97	US	8850	13.58	-61.15	1937	1	15	15.75	8411043	2014	0	4.11	0	34.97	0	210	0																																																																																
98	US	8850	13.73	-61.15	1937	1	15	18.67	8411044	1	0	26.24	0	35.85	0	205	0																																																																																
99	US	8850	13.73	-61.15	1937	1	15	18.67	8411044	25	0	26.25	0	35.85	0	204	0																																																																																
100	US	8850	13.73	-61.15	1937	1	15	18.67	8411044	50	0	26.23	0	35.85	0	204	0																																																																																
101	US	8850	13.73	-61.15	1937	1	15	18.67	8411044	98	0	25.81	0	36	0	199	0																																																																																
102	US	8850	13.73	-61.15	1937	1	15	18.67	8411044	144	0	21.01	0	36.69	0	184	0																																																																																
103	US	8850	13.73	-61.15	1937	1	15	18.67	8411044	188	0	17.7	0	36.4	0	159	0																																																																																
104	US	8850	13.73	-61.15	1937	1	15	18.67	8411044	270	0	14.03	0	35.74	0	141	0																																																																																
105	US	8850	13.73	-61.15	1937	1	15	18.67	8411044	358	0	10.63	0	35.21	0	127	0																																																																																
106	US	8850	13.73	-61.15	1937	1	15	18.67	8411044	447	0	8.32	0	34.87	0	122	0																																																																																
107	US	8850	13.73	-61.15	1937	1	15	18.67	8411044	535	0	7.33	0	34.74	0	128	0																																																																																
108	US	8850	13.73	-61.15	1937	1	15	18.67	8411044	744	0	5.85	0	34.7	0	141	0																																																																																
109	US	8850	13.73	-61.15	1937	1	15	18.67	8411044	963	0	4.95	0	34.88	0	175	0																																																																																
110	US	8850	13.73	-61.15	1937	1	15	18.67	8411044	1334	0	4.23	0	34.95	0	204	0																																																																																
111	US	8850	13.73	-61.15	1937	1	15	18.67	8411044	1550	0	4.13	0	34.97	0	207	0																																																																																
112	US	8850	13.73	-61.15	1937	1	15	18.67	8411044	1956	0	4.12	0	34.97	0	-99.99	0																																																																																
113	US	8850	14.12	-61.05	1937	1	16	0.75	8411045	1	0	25.89	0	35.87	0	204	0																																																																																
114	US	8850	14.12	-61.05	1937	1	16	0.75	8411045	19	0	25.9	0	35.9	0	204	0																																																																																
115	US	8850	14.12	-61.05	1937	1	16	0.75	8411045	39	0	25.9	0	35.9	0	203	0																																																																																
116	US	8850	14.12	-61.05	1937	1	16	0.75	8411045	76	0	25.52	0	36.32	0	200	0																																																																																
117	US	8850	14.12	-61.05	1937	1	16	0.75	8411045	110	0	22.77	0	36.77	0	180	0																																																																																
118	US	8850	14.12	-61.05	1937	1	16	0.75	8411045	143	0	19.07	0	36.75	0	154	0																																																																																
119	US	8850	14.12	-61.05	1937	1	16	0.75	8411045	201	0	15.96	0	36.08	0	138	0																																																																																
120	US	8850	14.12	-61.05	1937	1	16	0.75	8411045	268	0	14.14	0	35.85	0	143	0																																																																																
121	US	8850	14.12	-61.05	1937	1	16	0.75	8411045	332	0	11.31	0	35.32	0	129	0																																																																																
122	US	8850	14.12	-61.05	1937	1	16	0.75	8411045	398	0	9.91	0	35.1	0	127	0																																																																																
123	US	8850	14.12	-61.05	1937	1	16	0.75	8411045	551	0	7.57	0	34.7	0	129	0																																																																																
124	US	8850	14.12	-61.05	1937	1	16	0.75	8411045	714	0	5.91	0	34.7	0	142	0																																																																																
125	US	8850	14.12	-61.05	1937	1	16	0.75	8411045	916	0	5.18	0	34.81	0	163	0																																																																																
126	US	8850	14.28	-61.03	1937	1	16	3.75	8411046	1	0	26.08	0	35.86	0	204	0																																																																																
127	US	8850	14.28	-61.03	1937	1	16	3.75	8411046	18	0	26.09	0	35.84	0	205	0																																																																																
128	US	8850	14.28	-61.03	1937	1	16	3.75	8411046	35	0	26.09	0	35.84	0	204	0																																																																																
129	US	8850	14.28	-61.03	1937	1	16	3.75	8411046	69	0	25.9	0	36.06	0	204	0																																																																																
130	US	8850	14.28	-61.03	1937	1	16	3.75	8411046	100	0	23.38	0	36.89	0	187	0																																																																																
131	US	8850	14.28	-61.03	1937	1	16	3.75	8411046	128	0	22	0	36.87	0	174	0																																																																																
132	US	8850	14.28	-61.03	1937	1	16	3.75	8411046	179	0	17.68	0	36.36	0	152	0																																																																																
133	US	8850	14.28	-61.03	1937	1	16	3.75	8411046	237	0	15.11	0	35.97	0	150	0																																																																																
134	US	8850	14.28	-61.03	1937	1	16	3.75	8411046	295	0	13.32	0	35.67	0	149	0																																																																																
135	US	8850	14.28	-61.03	1937	1	16	3.75	8411046	351	0	11	0	35.28	0	124	0																																																																																
136	US	8850	14.28	-61.03	1937	1	16	3.75	8411046	463	0	8.99	0	34.98	0	125	0																																																																																
137	US	8850	14.28	-61.03	1937	1	16	3.75	8411046	575	0	7.46	0	34.83	0	128	0																																																																																
138	US	8850	14.28	-61.03	1937	1	16	3.75	8411046	698	0	6.1	0	34.7	0	137	0																																																																																
139	US	8850	14.28	-61.03	1937	1	16	3.75	8411046	969	0	4.77	0	34.92	0	185	0																																																																																
140	GB	1329	14	-61.33	1938	4	8		96451	0	0	26.64	0	35.52	0																																																																																		
141	GB	1329	14	-61.33	1938	4	8		96451	10	0	26.64	0	35.53	0																																																																																		
142	GB	1329	14	-61.33	1938	4	8		96451	25	0	26.61	0	35.56	0																																																																																		
143	GB	1329	14	-61.33	1938	4	8		96451	50	0	26.26	0	36.03	0																																																																																		
144	GB	1329	14	-61.33	1938	4	8		96451	75	0	25.21	0	36.29	0																																																																																		
145	GB	1329	14	-61.33	1938	4	8		96451	100	0	24.17	0	36.57	0																																																																																		
146	GB	1329	14	-61.33	1938	4	8		96451	150	0	18.01	0	36.46	0																																																																																		
147	GB	1329	14	-61.33	1938	4	8		96451	200	0	16.41	0	36.22	0																																																																																		
148	GB	1329	14	-61.33	1938	4	8		96451	250	0	14.47	0	35.88	0																																																																																		
149	GB	1329	14	-61.33	1938	4	8		96451	500	0	8.24	0	34.87	0																																																																																		
150	GB	1329	14	-61.33	1938	4	8		96451	750	0	7.02	0	34.74	0																																																																																		
151	GB	1329	14	-61.33	1938	4	8		96451	1000	0	5.18	0	34.82	0																																																																																		
152	GB	1329	14	-61.33	1938	4	8		96451	1500	0	4.25	0	34.94	0																																																																																		
153	GB	1329	14	-61.33	1938	4	8		96451	2000	0	4.11	0	35.02	0																																																																																		
154	GB	1329	14	-61.33	1938	4	8		96451	2500	0	4.16	0	34.99	0																																																																																		
155	FR	700	14.18	-61.13	1951	4	1		192346	0	0	26.75	0	35.41	0																																																																																		
156	FR	700	14.18	-61.13	1951	4	1		192346	50	0	24.9	0	36.27	0																																																																																		
157	FR	700	14.18	-61.13	1951	4	1		192346	100	0	21.6	0	36.55	0																																																																																		
158	FR	700	14.18	-61.13	1951	4	1		192346	200	0	16	0	35.91	0																																																																																		
159	FR	700	14.18	-61.13	1951	4	1		192346	300	0	12.6	0	35.32	0																																																																																		
160	FR	700	14.17	-60.9	1951	4	1		192342	0	0	26.55	0	35.68	0																																																																																		
161	FR	700	14.17	-60.9	1951	4	1		192342	50	0	26.2	0	35.81	0																																																																																		
162	US	2286	14.13	-60.7	1955	2	19	5	245676	1	0	26.04	0	-99.99	0	201	0					-99.99	0			0	0																																																																						
163	US	2286	14.13	-60.7	1955	2	19	5	245676	23	0	26.05	0	35.33	0	197	0					2.83	0			0.6	0																																																																						
164	US	2286	14.13	-60.7	1955	2	19	5	245676	46	0	26.13	0	35.33	0	196	0					2.54	0			0	0																																																																						
165	US	2286	14.13	-60.7	1955	2	19	5	245676	92	0	24.77	0	36.85	0	179	0					2.34	0			0.6	0																																																																						
166	US	2286	14.13	-60.7	1955	2	19	5	245676	140	0	21.71	0	37.09	0	173	0					1.56	0			0.6	0																																																																						
167	US	2286	14.13	-60.7	1955	2	19	5	245676	187	0	17.81	0	36.46	0	141	0					5.37	0			7.8	0																																																																						
168	US	2286	14.13	-60.7	1955	2	19	5	245676	288	0	13.75	0	35.76	0	130	0					10.73	0			13.2	0																																																																						
169	US	2286	14.13	-60.7	1955	2	19	5	245676	388	0	10.94	0	35.28	0	114	0					16.2	0			23.4	0																																																																						
170	US	2286	14.13	-60.7	1955	2	19	5	245676	488	0	8.39	0	34.92	0	119	0					23.41	0			26.3	0																																																																						
171	US	2286	14.13	-60.7	1955	2	19	5	245676	687	0	6.18	0	34.71	0	124	0					33.85	0			31.2	0																																																																						
172	US	2286	14.13	-60.7	1955	2	19	5	245676	885	0	5.28	0	34.77	0	144	0					29.46	0			24.4	0																																																																						
173	US	2286	14.13	-60.7	1955	2	19	5	245676	985	0	5.19	0	35.42	0	167	0					31.32	0			26.3	0																																																																						
174	US	16101	14.267	-60.925	1963	8	15	13.4	404974	0	2	29.2	0	39.41	0																																																																																		
175	US	16101	14.267	-60.925	1963	8	15	13.4	404974	2	2	28.52	0	34.396	0																																																																																		
176	US	16101	14.267	-60.925	1963	8	15	13.4	404974	198	0	18	0	36.47	0																																																																																		
177	US	16101	14.267	-60.925	1963	8	15	13.4	404974	249	0	16.05	0	36.163	0																																																																																		
178	US	16101	14.267	-60.925	1963	8	15	13.4	404974	306	0	13.91	0	35.682	0																																																																																		
179	US	16101	14.267	-60.925	1963	8	15	13.4	404974	362	0	12.05	0	35.382	0																																																																																		
180	US	16101	14.267	-60.925	1963	8	15	13.4	404974	389	0	11.49	0	35.292	0																																																																																		
181	US	16101	14.267	-60.925	1963	8	15	13.4	404974	413	0	11.14	0	35.242	0																																																																																		
182	US	16101	14.267	-60.925	1963	8	15	13.4	404974	436	0	10.57	0	35.143	0																																																																																		
183	US	16101	14.267	-60.925	1963	8	15	13.4	404974	489	0	9.59	0	35.07	0																																																																																		
184	US	16101	14.267	-60.925	1963	8	15	13.4	404974	517	0	-99.99	0	34.406	0																																																																																		
185	US	16101	14.267	-60.925	1963	8	15	13.4	404974	630	0	6.43	0	34.667	0																																																																																		
186	US	16101	14.267	-60.925	1963	8	15	13.4	404974	752	0	5.87	0	34.654	0																																																																																		
187	US	16101	14.267	-60.925	1963	8	15	13.4	404974	832	0	-99.99	0	34.652	0																																																																																		
188	US	16101	14.267	-60.925	1963	8	15	13.4	404974	933	0	5.1	0	34.864	0																																																																																		
189	US	16101	14.267	-60.925	1963	8	15	13.4	404974	998	0	4.66	0	34.91	0																																																																																		
190	US	16101	14.233	-60.917	1963	8	22	5.1	405593	0	0	28.9	0	34.355	0																																																																																		
191	US	16101	14.233	-60.917	1963	8	22	5.1	405593	2	0	28.76	0	34.351	0																																																																																		
192	US	16101	14.233	-60.917	1963	8	22	5.1	405593	28	0	28.6	0	34.47	0																																																																																		
193	US	16101	14.233	-60.917	1963	8	22	5.1	405593	54	0	26.74	0	36.221	0																																																																																		
194	US	16101	14.233	-60.917	1963	8	22	5.1	405593	79	0	25.67	0	36.547	0																																																																																		
195	US	16101	14.233	-60.917	1963	8	22	5.1	405593	105	0	24.3	0	36.909	0																																																																																		
196	US	16101	14.233	-60.917	1963	8	22	5.1	405593	130	0	22.82	0	36.999	0																																																																																		
197	US	16101	14.233	-60.917	1963	8	22	5.1	405593	155	0	20.2	0	36.706	0																																																																																		
198	US	16101	14.233	-60.917	1963	8	22	5.1	405593	206	0	17.23	0	36.263	0																																																																																		
199	US	16101	14.233	-60.917	1963	8	22	5.1	405593	257	0	14.59	0	35.84	0																																																																																		
200	US	16101	14.233	-60.917	1963	8	22	5.1	405593	308	0	11.9	0	35.337	0																																																																																		
201	US	16101	14.233	-60.917	1963	8	22	5.1	405593	410	0	-99.99	0	35.025	0																																																																																		
202	US	16101	14.233	-60.917	1963	8	22	5.1	405593	512	0	8.11	0	34.804	0																																																																																		
203	US	16101	14.233	-60.917	1963	8	22	5.1	405593	611	0	6.35	0	34.668	0																																																																																		
204	US	16101	14.233	-60.917	1963	8	22	5.1	405593	714	0	5.77	0	34.69	0																																																																																		
205	US	16101	14.233	-60.917	1963	8	22	5.1	405593	807	0	5.52	0	34.75	0																																																																																		
206	US	16101	14.233	-60.917	1963	8	22	5.1	405593	868	0	5.29	0	34.767	0																																																																																		
207	US	16101	13.508	-60.992	1963	8	27	13.1	406110	0	0	28.9	0	34.45	0																																																																																		
208	US	16101	13.508	-60.992	1963	8	27	13.1	406110	13	0	28.8	0	34.412	0																																																																																		
209	US	16101	13.508	-60.992	1963	8	27	13.1	406110	38	0	28.79	0	34.418	0																																																																																		
210	US	16101	13.508	-60.992	1963	8	27	13.1	406110	63	0	27.28	0	36.05	0																																																																																		
211	US	16101	13.508	-60.992	1963	8	27	13.1	406110	113	0	24.38	0	36.711	0																																																																																		
212	US	16101	13.508	-60.992	1963	8	27	13.1	406110	138	0	22.26	0	36.806	0																																																																																		
213	US	16101	13.508	-60.992	1963	8	27	13.1	406110	163	0	19.99	0	36.7	0																																																																																		
214	US	16101	13.508	-60.992	1963	8	27	13.1	406110	213	0	15.39	0	35.95	0																																																																																		
215	US	16101	13.508	-60.992	1963	8	27	13.1	406110	263	0	13.41	0	35.582	0																																																																																		
216	US	16101	13.508	-60.992	1963	8	27	13.1	406110	313	0	11.22	0	35.265	0																																																																																		
217	US	16101	13.508	-60.992	1963	8	27	13.1	406110	411	0	8.57	0	34.91	0																																																																																		
218	US	16101	13.508	-60.992	1963	8	27	13.1	406110	413	0	8.48	0	34.89	0																																																																																		
219	US	16101	14.258	-60.7	1963	8	30	9.1	406419	0	0	29	0	34.493	0																																																																																		
220	US	16101	14.258	-60.7	1963	8	30	9.1	406419	2	0	28.88	0	34.483	0																																																																																		
221	US	16101	14.258	-60.7	1963	8	30	9.1	406419	28	0	28.88	0	34.486	0																																																																																		
222	US	16101	14.258	-60.7	1963	8	30	9.1	406419	53	0	26.93	0	36.214	0																																																																																		
223	US	16101	14.258	-60.7	1963	8	30	9.1	406419	79	0	26.22	0	36.51	0																																																																																		
224	US	16101	14.258	-60.7	1963	8	30	9.1	406419	104	0	25.31	0	37.01	0																																																																																		
225	US	16101	14.258	-60.7	1963	8	30	9.1	406419	130	0	23.67	0	37.109	0																																																																																		
226	US	16101	14.258	-60.7	1963	8	30	9.1	406419	155	0	20.53	0	36.747	0																																																																																		
227	US	16101	14.258	-60.7	1963	8	30	9.1	406419	206	0	17.8	0	36.34	0																																																																																		
